file,grid,chunk,density,scheme,seed,update,cpu_record_avg,cpu_record_p99,gpu_exec_avg,gpu_exec_p99,frame_wall_avg,frame_wall_p99,cpu_wait_avg
grid1024_chunk16_dens20_scheme1_seed1337.csv,1024,16,20,1,1337,0,1668.15,2753.9,6743.73,7058.85,1687.87,2781.2,17.6605
grid1024_chunk16_dens20_scheme1_seed42.csv,1024,16,20,1,42,0,1694.23,2768.4,6712.43,7367.14,1715.89,2793.9,18.7005
grid1024_chunk16_dens20_scheme1_seed9999.csv,1024,16,20,1,9999,0,1678.47,2738.8,6736.15,7201.47,1698.88,2775.2,18.301
grid1024_chunk16_dens20_scheme2_seed1337.csv,1024,16,20,2,1337,0,1352.97,1945.4,7443.89,8086.5,1368.13,1971.5,13.4225
grid1024_chunk16_dens20_scheme2_seed42.csv,1024,16,20,2,42,0,1367.2,1896.1,7370.01,7739.04,1382.95,1920.7,13.893
grid1024_chunk16_dens20_scheme2_seed9999.csv,1024,16,20,2,9999,0,1341.93,1561.4,7400.94,7864.48,1358.98,1581.5,14.96
grid1024_chunk16_dens20_scheme3_seed1337.csv,1024,16,20,3,1337,0,18.31,30.8,7428.12,7789.66,31.785,54,11.8635
grid1024_chunk16_dens20_scheme3_seed42.csv,1024,16,20,3,42,0,18.627,31.1,7400.13,7902.62,32.503,54.3,12.0465
grid1024_chunk16_dens20_scheme3_seed9999.csv,1024,16,20,3,9999,0,24.06,34.8,7413.13,7892.77,41.976,60,15.3885
grid1024_chunk16_dens50_scheme1_seed1337.csv,1024,16,50,1,1337,0,1453.13,2203.2,2411.53,2704.7,1467.84,2219.2,13.1665
grid1024_chunk16_dens50_scheme1_seed42.csv,1024,16,50,1,42,0,1302.16,1684.6,2389.94,2571.84,1314.63,1698.4,11.158
grid1024_chunk16_dens50_scheme1_seed9999.csv,1024,16,50,1,9999,0,1729.97,2692.3,2394.2,2575.26,1748.28,2715.4,16.339
grid1024_chunk16_dens50_scheme2_seed1337.csv,1024,16,50,2,1337,0,1357.06,1792.9,2810.32,2992.7,1369.91,1806,11.4305
grid1024_chunk16_dens50_scheme2_seed42.csv,1024,16,50,2,42,0,1340.77,1574.2,2795.87,2974.5,1352.26,1586.6,10.1525
grid1024_chunk16_dens50_scheme2_seed9999.csv,1024,16,50,2,9999,0,1351.35,1840.2,2809.25,2988.83,1363.4,1853.8,10.653
grid1024_chunk16_dens50_scheme3_seed1337.csv,1024,16,50,3,1337,0,15.319,26.2,2826.27,3006.66,26.7185,54.2,10.023
grid1024_chunk16_dens50_scheme3_seed42.csv,1024,16,50,3,42,0,15.5495,30,2812.07,2986.59,26.8355,52.9,9.8985
grid1024_chunk16_dens50_scheme3_seed9999.csv,1024,16,50,3,9999,0,15.316,29.7,2819.13,3002.62,26.4755,51.6,9.7765
grid1024_chunk16_dens80_scheme1_seed1337.csv,1024,16,80,1,1337,0,1279.95,1962.1,3167.48,3344.93,1293.97,1980.5,12.5635
grid1024_chunk16_dens80_scheme1_seed42.csv,1024,16,80,1,42,0,1285.8,1908,3176.73,3353.31,1300.28,1924.3,12.925
grid1024_chunk16_dens80_scheme1_seed9999.csv,1024,16,80,1,9999,0,1386.92,2384.3,42310.5,43590.1,1418.94,2426.1,28.413
grid1024_chunk16_dens80_scheme2_seed1337.csv,1024,16,80,2,1337,0,1363.6,1890.3,3192.88,3372.86,1376.84,1903.7,11.8445
grid1024_chunk16_dens80_scheme2_seed42.csv,1024,16,80,2,42,0,1359.96,1774,3197.95,3372,1373.63,1787.2,12.19
grid1024_chunk16_dens80_scheme2_seed9999.csv,1024,16,80,2,9999,0,1639.89,2677.1,42598.5,43857.5,1671.92,2720,28.3655
grid1024_chunk16_dens80_scheme3_seed1337.csv,1024,16,80,3,1337,0,18.8675,37.9,3205.07,3384.06,32.7225,66.7,11.963
grid1024_chunk16_dens80_scheme3_seed42.csv,1024,16,80,3,42,0,20.416,32.7,3206.71,3384.38,35.155,57.1,12.6795
grid1024_chunk16_dens80_scheme3_seed9999.csv,1024,16,80,3,9999,0,36.3625,54.1,42586.2,43801.9,63.5755,92.4,23.4305
grid2048_chunk16_dens20_scheme1_seed1337.csv,2048,16,20,1,1337,0,6364.78,10906.4,22007.5,22907.4,6396.46,10944.8,28.503
grid2048_chunk16_dens20_scheme1_seed42.csv,2048,16,20,1,42,0,6501.54,11010.7,21955.8,22828.4,6534.57,11047.1,29.635
grid2048_chunk16_dens20_scheme1_seed9999.csv,2048,16,20,1,9999,0,6373.73,10788.4,19820.6,26224.9,6408.78,10833.3,31.472
grid2048_chunk16_dens20_scheme2_seed1337.csv,2048,16,20,2,1337,0,4852.35,5907.4,303.318,1964.19,4871.33,5926.4,17.115
grid2048_chunk16_dens20_scheme2_seed42.csv,2048,16,20,2,42,0,6146.77,9888,10743.8,13087.8,6178.89,9938,28.703
grid2048_chunk16_dens20_scheme2_seed9999.csv,2048,16,20,2,9999,0,6226.15,10375.2,30105.1,30929.4,6262.87,10415.9,32.6345
grid2048_chunk16_dens20_scheme3_seed1337.csv,2048,16,20,3,1337,0,41.835,74.6,30541.6,31403.2,74.868,121.4,28.0625
grid2048_chunk16_dens20_scheme3_seed42.csv,2048,16,20,3,42,0,42.821,92.6,30439.6,31266.1,75.88,144.3,27.935
grid2048_chunk16_dens20_scheme3_seed9999.csv,2048,16,20,3,9999,0,32.588,72.3,30239.1,31150.6,57.8005,120.2,21.7
grid2048_chunk16_dens50_scheme1_seed1337.csv,2048,16,50,1,1337,0,6527.76,10828.3,10619.5,10972.4,6557.18,10862.2,26.528
grid2048_chunk16_dens50_scheme1_seed42.csv,2048,16,50,1,42,0,6024.39,10767.4,10648.8,11044.6,6052.76,10809.2,25.5175
grid2048_chunk16_dens50_scheme1_seed9999.csv,2048,16,50,1,9999,0,6964.17,11227.6,10629.1,10925.8,6993.37,11259.3,26.151
grid2048_chunk16_dens50_scheme2_seed1337.csv,2048,16,50,2,1337,0,6090.76,10477.5,12203.9,12903.7,6126.23,10521,31.503
grid2048_chunk16_dens50_scheme2_seed42.csv,2048,16,50,2,42,0,6655.76,10433.7,12251.4,12931.2,6686.9,10477.4,27.702
grid2048_chunk16_dens50_scheme2_seed9999.csv,2048,16,50,2,9999,0,6253.33,10310.2,12256.8,12896.7,6287.29,10357.9,30.139
grid2048_chunk16_dens50_scheme3_seed1337.csv,2048,16,50,3,1337,0,35.504,58.3,12132.4,12965.2,64.9985,114.3,24.847
grid2048_chunk16_dens50_scheme3_seed42.csv,2048,16,50,3,42,0,36.293,65.2,12108.1,12585.4,65.6385,117.5,24.848
grid2048_chunk16_dens50_scheme3_seed9999.csv,2048,16,50,3,9999,0,36.4375,63,12096.1,12614.1,66.221,112.2,25.31
grid2048_chunk16_dens80_scheme1_seed1337.csv,2048,16,80,1,1337,0,5968.39,9868.3,14374.5,15030.8,6008.42,9912.5,35.8875
grid2048_chunk16_dens80_scheme1_seed42.csv,2048,16,80,1,42,0,6128.9,9911.4,14433.6,14967.3,6169.99,9955.3,36.8125
grid2048_chunk16_dens80_scheme1_seed9999.csv,2048,16,80,1,9999,0,4684.96,6270.7,1481.37,25230.3,4712.97,6291.1,25.3105
grid2048_chunk16_dens80_scheme2_seed1337.csv,2048,16,80,2,1337,0,7011.04,10792.3,14467.9,15083.3,7041.32,10824.2,26.9095
grid2048_chunk16_dens80_scheme2_seed42.csv,2048,16,80,2,42,0,7225.82,10695.4,13662.4,15074.8,7255.92,10724.1,26.8095
grid2048_chunk16_dens80_scheme2_seed9999.csv,2048,16,80,2,9999,0,6561.17,9979.2,6151.47,47175.6,6589.91,10018.4,25.711
grid2048_chunk16_dens80_scheme3_seed1337.csv,2048,16,80,3,1337,0,22.8935,41.5,12789.4,15131.4,41.259,84.1,15.7985
grid2048_chunk16_dens80_scheme3_seed42.csv,2048,16,80,3,42,0,18.7365,46.9,1249.27,1514.08,33.0085,89.3,12.3725
grid2048_chunk16_dens80_scheme3_seed9999.csv,2048,16,80,3,9999,0,20.4565,51.1,1086.28,1396.58,36.587,95.7,13.952
grid4096_chunk16_dens20_scheme1_seed1337.csv,4096,16,20,1,1337,0,15888,26439.3,2.9976,5.28,15910.7,26464.6,20.372
grid4096_chunk16_dens20_scheme1_seed42.csv,4096,16,20,1,42,0,19022.6,26637,13884.9,40716.5,19059.7,26675.5,33.4045
grid4096_chunk16_dens20_scheme1_seed9999.csv,4096,16,20,1,9999,0,19570.1,34849.7,25595.6,51187.1,19599.2,34890.2,26.159
grid4096_chunk16_dens20_scheme2_seed1337.csv,4096,16,20,2,1337,0,27414.3,39485.6,74623.5,118710,27452.8,39529.7,34.3355
grid4096_chunk16_dens20_scheme2_seed42.csv,4096,16,20,2,42,0,25469.8,35233,1637.43,2492.1,25506.9,35271.6,33.333
grid4096_chunk16_dens20_scheme2_seed9999.csv,4096,16,20,2,9999,0,25349.4,36194.1,92344.4,121092,25386.9,36244.1,33.4485
grid4096_chunk16_dens20_scheme3_seed1337.csv,4096,16,20,3,1337,0,39.0245,60.8,126027,131491,72.1205,115.1,28.299
grid4096_chunk16_dens20_scheme3_seed42.csv,4096,16,20,3,42,0,37.473,67.2,61031.1,69667.7,70.0745,142.8,27.9665
grid4096_chunk16_dens20_scheme3_seed9999.csv,4096,16,20,3,9999,0,25.1885,47.9,10204.4,18590.1,45.408,94.3,17.6085
grid4096_chunk16_dens50_scheme1_seed1337.csv,4096,16,50,1,1337,0,25714.5,40225.3,39722.1,42064.6,25750.8,40296,32.814
