# commit=c1d4b38
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=4096 chunk=16 density=50 scheme=1 seed=42
# warmup=60 record=200
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,22687.7,32.1,2.272,22734.6,0,0
1,24183.5,32.2,1.664,24219.8,0,0
2,22292.8,35.2,1.536,22331.7,0,0
3,18145.2,28.9,1.664,18177.9,0,0
4,18340,29.5,1.536,18372.8,0,0
5,17073.9,29.6,1.376,17106.4,0,0
6,21187.3,26,1.472,21216,0,0
7,20976.4,28,1.536,21008.1,0,0
8,16704.7,23.8,2.336,16731.4,0,0
9,16195.8,23.8,1.92,16222.2,0,0
10,15586.6,18.9,2.336,15607.2,0,0
11,17498.7,22.1,1.664,17523.1,0,0
12,17527.3,34.9,1.728,17564.5,0,0
13,14862.3,26.6,1.6,14892.8,0,0
14,15710.8,32.6,1.824,15746.1,0,0
15,15292.5,27.5,2.24,15322.5,0,0
16,15501.3,29.5,2.048,15533.4,0,0
17,19463.4,31.3,1.824,19497.1,0,0
18,15729.4,24.7,1.536,15756.9,0,0
19,16504.1,25.6,2.4,16532.7,0,0
20,16162.9,22.7,2.24,16189.5,0,0
21,19466.4,27.4,1.984,19498,0,0
22,21560.5,35.6,2.464,21599.2,0,0
23,17569.4,37.4,1.888,17610.7,0,0
24,20698.2,44.6,1.952,20746.7,0,0
25,21026,37.8,1.792,21068.1,0,0
26,18785.4,55.7,1.376,18844.9,0,0
27,16257.4,38.6,614.208,16300.7,1972,1140
28,22949.6,47.9,3782.78,23001.9,11512,6712
29,22946.7,44.3,7982.21,22995.7,21895,12799
30,17983.3,42,12286.2,18029.6,32214,18829
31,18092.9,42.4,12635.5,18139.6,33216,19415
32,23608.7,46.7,13075.8,23660.7,33995,19880
33,21698.7,53.2,13476.6,21756.2,33995,19880
34,27681.9,39.1,13728.4,27724.9,33995,19880
35,25248.9,32.1,14203.8,25284.8,33995,19880
36,22947.4,38,14604.8,22989.1,33995,19880
37,18268.7,33.2,14505.2,18305.8,33995,19880
38,18109.8,51.1,13614.6,18165.6,33992,19877
39,19354.7,34.4,13565,19392.3,34161,19985
40,20388.2,33.7,13729.6,20424.8,35327,20675
41,19096.7,33.9,15361.1,19134.4,38070,22277
42,19506.1,35.6,15264,19545.2,39433,23075
43,21618.4,28.7,14076.3,21649.9,40989,23994
44,21106.7,31.6,17458.4,21141.7,44892,26284
45,20097.3,27.7,17192.5,20128.4,47804,27990
46,20758.9,27.1,18146.8,20788.9,47812,27992
47,20668.2,32.5,17746.4,20704.1,47812,27992
48,19287.2,29.7,16460.9,19320.1,47236,27659
49,18754.5,27.8,17391.1,18785.5,47236,27659
50,18914.9,27.9,17399.2,18945.4,47236,27659
51,24822.4,47.9,15715.5,24874,47236,27659
52,20317.9,32.8,15820.2,20354.1,45879,26863
53,22862.6,36.8,17684.2,22902.8,45879,26865
54,20731.2,34.1,15222.5,20768.7,45111,26412
55,20373.8,27,14256.6,20403.8,43725,25604
56,18581,24.1,15255.3,18608,44690,26164
57,18296.7,25.3,16035.9,18324.4,44690,26164
58,18615.2,22.3,16278,18639.8,44889,26278
59,18573.5,20.9,14603.2,18596.9,44889,26278
60,18587,20.7,16665.4,18610.6,44889,26278
61,18344.3,18.8,14248.1,18365.2,44889,26278
62,18634.1,17.7,14606.9,18656.1,44889,26278
63,18417.2,18.1,14626.1,18437.1,44889,26278
64,19579.1,17.7,15314,19599.2,44889,26278
65,18485.4,20.5,15722.8,18507.9,44889,26278
66,20598.9,19.3,16449.2,20620.1,44889,26278
67,18930.7,18.9,17328.8,18951.8,45857,26842
68,19421.9,16.3,17207.6,19440.4,46052,26955
69,21965.9,19.1,18076.1,21987,47580,27863
70,22239.7,18.8,19459.4,22260.3,52642,30808
71,24561.1,26.6,24607,24589.7,64984,38022
72,26276,26.9,28421.3,26304.9,74401,43550
73,26612,26.8,34721.2,26641.1,91599,53599
74,26942.4,24.4,37496.3,26969.4,99801,58418
75,22738.2,27.9,40544.9,22770,105889,61975
76,24018,31.2,40331.1,24052.2,106809,62522
