frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,103.7,13,2077.86,127.7,502,256
1,86.8,10.8,2076.51,99.5,502,256
2,119.8,10.5,2077.09,132,502,256
3,87,10.9,2066.56,99.3,502,256
4,87.5,11.3,2071.68,100.2,502,256
5,85.7,9.6,2077.92,96.6,502,256
6,86.2,9.2,2063.46,96.7,502,256
7,95.7,29.6,2078.18,126.7,502,256
8,87.1,39.6,2067.33,128.1,502,256
9,105.4,11.5,2081.63,118.3,502,256
10,119.9,11.6,2077.66,133,502,256
11,159.4,11.4,2064.19,172.1,502,256
12,86.5,14,2090.46,101.8,502,256
13,86.7,11,2080.58,99,502,256
14,103.9,10.8,2070.5,115.9,502,256
15,87,10.8,2077.89,99,502,256
16,107.8,10.9,2064.67,119.8,502,256
17,102.4,14.2,2087.36,117.9,502,256
18,120,10.9,2063.84,132.1,502,256
19,89.5,10.9,2080.35,101.7,502,256
20,126.3,11,2065.15,138.5,502,256
21,95.7,12.1,2065.22,109.2,502,256
22,103.6,11.3,2073.73,116.3,502,256
23,104.9,11.1,2076.22,117.4,502,256
24,86.5,13.5,2075.2,101.2,502,256
25,103.6,10.9,2087.62,115.9,502,256
26,129.1,11,2064.99,141.2,502,256
27,86.7,10.7,2079.65,98.7,502,256
28,86.4,44.8,2079.55,132.5,502,256
29,129.2,10.9,2071.14,141.2,502,256
30,86.8,10.7,2078.27,98.6,502,256
31,106.4,11,2064.96,118.6,502,256
32,103,11.2,2074.98,115.6,502,256
33,100,10.9,2164.26,112.1,502,256
34,86.4,30.5,2004.67,118.3,502,256
35,86.3,80.5,1963.84,168,502,256
36,138.8,13.5,1963.97,153.4,502,256
37,86.5,11.1,1963.39,116.5,502,256
38,87,10.7,1966.91,98.9,502,256
39,86.8,10.7,1952.93,98.9,502,256
40,102.8,10.8,1965.57,114.8,502,256
41,103.9,10,1965.76,115,502,256
42,139,11.4,1964.64,151.6,502,256
43,108.2,11,1965.15,120.6,502,256
44,105.3,10.5,1956,117.1,502,256
45,98.2,11.2,1962.5,138.2,502,256
46,102.6,10.2,1953.25,113.9,502,256
47,100.6,9.4,1952.64,111.1,502,256
48,87.1,13.6,1962.66,101.9,502,256
49,87.1,10.9,1976.42,99.1,502,256

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,101.256,85.7,159.4,85.7,139,16.7892

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,14.592,9.2,80.5,9.2,44.8,11.7704

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,2041.14,1952.64,2164.26,1952.64,2090.46,54.4477

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,118.234,96.6,172.1,96.6,168,18.2142
