file,grid,chunk,density,scheme,seed,update,cpu_record_avg,cpu_record_p99,gpu_exec_avg,gpu_exec_p99,frame_wall_avg,frame_wall_p99,cpu_wait_avg
grid512_chunk16_dens50_scheme1_seed1337.csv,512,16,50,1,1337,0,327.166,408,550.882,553.632,337.714,439.5,9.429
grid512_chunk16_dens50_scheme1_seed42.csv,512,16,50,1,42,0,335.488,502,551.356,553.888,347.819,525.4,10.9855
grid512_chunk16_dens50_scheme1_seed9999.csv,512,16,50,1,9999,0,341.491,469.4,556.237,559.296,353.589,484.1,10.818
grid512_chunk16_dens50_scheme2_seed1337.csv,512,16,50,2,1337,0,341.034,417.5,668.046,670.88,350.692,429.6,8.5175
grid512_chunk16_dens50_scheme2_seed42.csv,512,16,50,2,42,0,345.993,456.5,666.011,668.896,355.868,468.2,8.7155
grid512_chunk16_dens50_scheme2_seed9999.csv,512,16,50,2,9999,0,350.586,462.7,677.387,679.776,360.936,474.3,9.1515
grid512_chunk16_dens50_scheme3_seed1337.csv,512,16,50,3,1337,0,13.659,31.1,671.176,673.824,23.417,54.5,8.5435
grid512_chunk16_dens50_scheme3_seed42.csv,512,16,50,3,42,0,15.122,31.9,669.061,671.648,25.994,56.2,9.4975
grid512_chunk16_dens50_scheme3_seed9999.csv,512,16,50,3,9999,0,14.9695,34.6,680.452,683.36,25.8525,60,9.5405
grid512_chunk32_dens50_scheme1_seed1337.csv,512,32,50,1,1337,0,90.1955,137.6,550.509,553.568,101.067,157.7,9.71
grid512_chunk32_dens50_scheme1_seed42.csv,512,32,50,1,42,0,96.6845,143.6,551.631,554.272,110.243,168.1,12.088
grid512_chunk32_dens50_scheme1_seed9999.csv,512,32,50,1,9999,0,91.1945,148.2,555.879,558.72,102.828,180.9,10.3905
grid512_chunk32_dens50_scheme2_seed1337.csv,512,32,50,2,1337,0,107.479,238.2,667.725,670.432,123.321,254.7,13.9425
grid512_chunk32_dens50_scheme2_seed42.csv,512,32,50,2,42,0,98.3515,130.6,665.588,668.448,110.169,157.8,10.496
grid512_chunk32_dens50_scheme2_seed9999.csv,512,32,50,2,9999,0,97.518,143.8,676.859,679.68,110.242,168.3,11.2015
grid512_chunk32_dens50_scheme3_seed1337.csv,512,32,50,3,1337,0,13.799,33.1,670.071,673.44,23.813,58.5,8.7915
grid512_chunk32_dens50_scheme3_seed42.csv,512,32,50,3,42,0,14.006,36,667.943,670.72,23.852,53.2,8.66
grid512_chunk32_dens50_scheme3_seed9999.csv,512,32,50,3,9999,0,13.7105,34.6,679.168,681.888,23.59,61.5,8.6675
grid512_chunk4_dens50_scheme1_seed1337.csv,512,4,50,1,1337,0,4621.29,4878.4,625.934,626.528,4636.35,4908.6,13.6085
grid512_chunk4_dens50_scheme1_seed42.csv,512,4,50,1,42,0,4638.92,5236.1,627.083,627.616,4653.82,5253.5,13.497
grid512_chunk4_dens50_scheme1_seed9999.csv,512,4,50,1,9999,0,3513.97,4079.1,13.373,57.024,3532.75,4097.1,16.899
grid512_chunk4_dens50_scheme2_seed1337.csv,512,4,50,2,1337,0,5373.08,6076.6,725.282,729.568,5390.17,6094.8,15.5925
grid512_chunk4_dens50_scheme2_seed42.csv,512,4,50,2,42,0,5454.21,7032.1,728.537,732.928,5474.07,7068.9,17.9775
grid512_chunk4_dens50_scheme2_seed9999.csv,512,4,50,2,9999,0,5434.05,7019.3,730.717,735.168,5451.9,7037.5,16.152
grid512_chunk4_dens50_scheme3_seed1337.csv,512,4,50,3,1337,0,14.753,18.7,1641.84,1848.42,25.774,34.3,9.657
grid512_chunk4_dens50_scheme3_seed42.csv,512,4,50,3,42,0,16.8275,33.5,1685.53,1870.3,29.3395,60.2,10.9485
grid512_chunk4_dens50_scheme3_seed9999.csv,512,4,50,3,9999,0,15.5995,31.7,1627.68,1893.31,27.353,56.4,10.2685
grid512_chunk8_dens50_scheme1_seed1337.csv,512,8,50,1,1337,0,1228.53,1602.3,552.561,555.552,1240.89,1617.3,11.035
grid512_chunk8_dens50_scheme1_seed42.csv,512,8,50,1,42,0,1214.35,1665.1,554.658,557.504,1225.9,1682.5,10.352
grid512_chunk8_dens50_scheme1_seed9999.csv,512,8,50,1,9999,0,1207.95,1404.6,556.417,559.328,1218.88,1418.1,9.7515
grid512_chunk8_dens50_scheme2_seed1337.csv,512,8,50,2,1337,0,1347.1,1577.8,670.066,672.576,1357.84,1590.8,9.5265
grid512_chunk8_dens50_scheme2_seed42.csv,512,8,50,2,42,0,1409.55,2315.6,668.253,671.04,1426.84,2350.8,15.4625
grid512_chunk8_dens50_scheme2_seed9999.csv,512,8,50,2,9999,0,1335.92,1578.5,678.984,681.408,1347.35,1597.7,10.126
grid512_chunk8_dens50_scheme3_seed1337.csv,512,8,50,3,1337,0,14.6655,32.5,682.581,689.088,25.436,57,9.4395
grid512_chunk8_dens50_scheme3_seed42.csv,512,8,50,3,42,0,13.3525,29.4,680.275,682.784,22.9965,51.7,8.457
grid512_chunk8_dens50_scheme3_seed9999.csv,512,8,50,3,9999,0,15.0575,33.9,691.255,693.792,26.391,63.5,9.907
