# commit=0c3c0d9
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=512 chunk=8 density=50 scheme=2 seed=9999
# warmup=60 record=200
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,1317.4,9.9,678.944,1337.1,2,4096
1,1382.8,10.2,678.56,1394.7,2,4096
2,1299.8,9.6,678.496,1310.7,2,4096
3,1302,6.8,679.2,1309.7,2,4096
4,1300.5,5.8,679.072,1307.1,2,4096
5,1301.4,5.3,678.592,1307.4,2,4096
6,1502.1,10.6,679.264,1514,2,4096
7,1327.5,9.7,679.264,1338.5,2,4096
8,1301.8,10.2,679.232,1313.2,2,4096
9,1320.2,9.8,678.72,1331.2,2,4096
10,1303.2,9.8,678.016,1314.3,2,4096
11,1299.5,6.3,680.512,1306.5,2,4096
12,1424.8,10.3,679.2,1436.2,2,4096
13,1344.9,10.2,678.432,1356.3,2,4096
14,1344.7,11,680.928,1356.8,2,4096
15,1298.8,9.8,678.016,1309.7,2,4096
16,1294.7,5.6,679.008,1300.9,2,4096
17,1298.1,5.2,679.712,1303.9,2,4096
18,1298,6.4,678.272,1305,2,4096
19,1485.1,32.9,679.008,1522,2,4096
20,1300.6,9.7,679.04,1311.5,2,4096
21,1295,6.8,678.432,1302.5,2,4096
22,1297.1,5.6,677.92,1303.4,2,4096
23,1309.8,5.2,678.784,1315.5,2,4096
24,1295.2,5.5,678.496,1301.4,2,4096
25,1406.3,10.7,679.072,1417.8,2,4096
26,1302.8,10.2,679.36,1314.2,2,4096
27,1309.1,10.4,679.04,1320.6,2,4096
28,1303,7.7,678.912,1311.4,2,4096
29,1436.2,7.3,678.304,1444.3,2,4096
30,1327.3,10.1,678.336,1338.7,2,4096
31,1305.4,7.4,679.872,1313.7,2,4096
32,1310.3,11,678.4,1322.5,2,4096
33,1310.2,10.2,678.272,1321.5,2,4096
34,1302.5,9.9,681.088,1313.6,2,4096
35,1299.4,7.4,679.776,1307.5,2,4096
36,1298.7,7.3,678.528,1306.8,2,4096
37,1304.9,6.8,679.712,1312.7,2,4096
38,1294.6,5.1,678.4,1300.3,2,4096
39,1302.4,9.7,678.752,1313.2,2,4096
40,1304.9,9.9,678.496,1316.1,2,4096
41,1401.7,10.3,678.4,1413.1,2,4096
42,1300.7,8.7,678.208,1310.4,2,4096
43,1302.8,7.4,680.064,1311.3,2,4096
44,1300,8.2,678.784,1309.2,2,4096
45,1457.1,21.5,678.144,1482.6,2,4096
46,1304.8,10.2,678.4,1316.2,2,4096
47,1311.7,10,678.112,1323.1,2,4096
48,1296.5,7.5,679.296,1305,2,4096
49,1300.4,10.1,678.496,1311.9,2,4096
50,1307.7,10.1,678.496,1319.2,2,4096
51,1384.8,11.3,680.544,1397,2,4096
52,1378.9,12.7,678.368,1393,2,4096
53,1305.6,9.3,678.496,1315.9,2,4096
54,1308.5,7.8,680.352,1317.5,2,4096
55,1320.6,10.6,679.136,1332.6,2,4096
56,1308,7,678.432,1315.8,2,4096
57,1387.7,12.7,680.128,1401.8,2,4096
58,1321.6,11.2,677.984,1334.3,2,4096
59,1314.2,11.1,678.816,1326.7,2,4096
60,1315.1,11.5,678.752,1328.1,2,4096
61,1328.4,10.5,678.688,1340.3,2,4096
62,1345.9,10.7,679.168,1358,2,4096
63,1310.7,10.7,678.816,1322.8,2,4096
64,1353.4,10.7,678.528,1365.6,2,4096
