frame,cpu_us,gpu_us,total_us,draw_calls,visible_instances
0,5550.82,24.576,5575.4,5,3
1,5848.14,24.96,5873.1,5,3
2,5390.74,21.76,5412.5,5,3
3,7097.72,13.984,7111.7,5,3
4,4084.67,21.632,4106.3,5,3
5,6062.25,14.752,6077,5,3
6,6622.97,14.528,6637.5,5,3
7,5489.78,14.624,5504.4,5,3
8,6135.12,14.784,6149.9,5,3
9,6383.1,21.504,6404.6,5,3
10,5626.25,13.952,5640.2,5,3
11,6062.45,14.048,6076.5,5,3
12,6058.05,14.848,6072.9,5,3
13,6371.55,14.752,6386.3,5,3
14,6039.12,14.88,6054,5,3
15,6446.87,14.432,6461.3,5,3
16,6301.13,21.472,6322.6,5,3
17,5560.32,14.08,5574.4,5,3
18,6020.16,14.24,6034.4,5,3
19,5998.29,14.112,6012.4,5,3
20,6220.65,21.152,6241.8,5,3
21,5882.62,14.08,5896.7,5,3
22,6505.11,14.688,6519.8,5,3
23,8187.96,14.24,8202.2,5,3
24,3503.81,14.592,3518.4,5,3
25,6120.13,14.272,6134.4,5,3
26,7726.22,14.08,7740.3,5,3
27,4373.3,14.496,4387.8,5,3
28,6080.96,14.24,6095.2,5,3
29,7897.31,16.288,7913.6,5,3
30,4128.95,23.552,4152.5,5,3
31,6003.05,13.952,6017,5,3
32,6004.8,14.496,6019.3,5,3
33,6149.9,14.496,6164.4,5,3
34,5957.83,14.368,5972.2,5,3
35,6070.15,14.752,6084.9,5,3
36,6559.08,22.016,6581.1,5,3
37,5411.08,14.624,5425.7,5,3
38,6132.82,14.784,6147.6,5,3
39,5972.49,14.208,5986.7,5,3
40,6250.5,21.6,6272.1,5,3
41,5834.5,14.496,5849,5,3
42,6723.67,21.632,6745.3,5,3
43,5268.27,14.528,5282.8,5,3
44,6150.84,14.464,6165.3,5,3
45,6016.65,14.752,6031.4,5,3
46,6014.36,14.336,6028.7,5,3
47,6065.36,14.944,6080.3,5,3
48,6009.02,14.784,6023.8,5,3
49,6415.67,20.832,6436.5,5,3
50,5604.64,14.56,5619.2,5,3
51,6046.18,14.816,6061,5,3
52,7205.86,14.336,7220.2,5,3
53,4875.03,14.368,4889.4,5,3
54,6071.63,14.368,6086,5,3
55,6150.62,14.08,6164.7,5,3
56,6367.78,22.016,6389.8,5,3
57,5582.55,13.952,5596.5,5,3
58,6425.08,14.72,6439.8,5,3
59,5610.03,20.768,5630.8,5,3
60,5963.75,14.048,5977.8,5,3
61,6057.24,14.56,6071.8,5,3
62,6058.29,14.112,6072.4,5,3
