frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,19.9,64,184.256,94.1,2,256
1,15,9.4,184.576,26.1,2,256
2,15.6,9.9,183.552,27.1,2,256
3,51.7,8.8,183.36,62,2,256
4,15.2,9.8,183.328,26.5,2,256
5,15.2,9.7,183.808,26,2,256
6,17.4,9.5,183.136,28.3,2,256
7,14.7,9.3,183.072,25.3,2,256
8,10.5,6.3,183.776,17.6,2,256
9,10.8,5.8,183.488,17.3,2,256
10,8.9,5.7,183.04,15.4,2,256
11,12.9,6.8,185.28,20.6,2,256
12,14.7,9.3,184.192,25.2,2,256
13,11.7,7.3,183.648,19.8,2,256
14,12.6,7,183.776,20.5,2,256
15,14.5,9.2,183.808,25.1,2,256
16,11,6.9,183.52,18.7,2,256
17,10.9,5.6,183.168,17.3,2,256
18,14.7,9.1,183.104,25,2,256
19,14.8,9.2,186.592,25.4,2,256
20,14.7,7.9,183.968,23.7,2,256
21,14.4,9,183.872,24.6,2,256
22,31.5,19.2,184.288,54,2,256
23,17.2,9.3,183.488,27.8,2,256
24,25.3,16.8,183.616,45,2,256
25,15.1,9.7,183.104,26.1,2,256
26,13.1,8.2,183.36,22.2,2,256
27,11.1,6.8,183.52,18.6,2,256
28,14.7,9.3,183.328,25.2,2,256
29,12.1,7.7,183.776,20.6,2,256
30,10.8,6.9,183.584,18.5,2,256
31,11.1,7,183.776,19.1,2,256
32,10.3,6.5,184.224,17.8,2,256
33,14.9,9.5,183.808,25.8,2,256
34,14.9,9.5,183.456,25.6,2,256
35,14.7,9.2,183.808,25.2,2,256
36,13.7,8.6,183.68,23.5,2,256
37,12.7,8,183.84,21.6,2,256
38,11.2,7.1,183.104,19.1,2,256
39,10.9,6.9,183.584,18.8,2,256
40,10.4,6.7,183.52,18,2,256
41,101.2,7.1,184.384,109.2,2,256
42,14.7,9.2,184.032,25.3,2,256
43,13.3,8.6,182.944,22.9,2,256
44,11.4,7.2,184.512,19.5,2,256
45,15.1,9.5,183.488,25.8,2,256
46,14.8,9.6,183.488,25.6,2,256
47,12.6,7.9,183.36,21.6,2,256
48,11.3,7,183.552,19.2,2,256
49,14.8,9,183.744,25.2,2,256

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,16.534,8.9,101.2,8.9,51.7,13.6969

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,9.67,5.6,64,5.6,19.2,8.09667

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,183.734,182.944,186.592,182.944,185.28,0.604671

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,27.568,15.4,109.2,15.4,94.1,17.299
