frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,84.4,10.1,151.168,102.5,429,256
1,135.5,11.9,151.456,149.4,429,256
2,86.1,10.6,150.24,98.4,429,256
3,96.9,22.3,150.88,122.4,429,256
4,89.2,10.6,150.336,101.3,429,256
5,152.5,11,150.304,165,429,256
6,86,10.9,150.432,98.3,429,256
7,134.3,9.5,150.272,144.8,429,256
8,83.8,8.2,150.144,92.9,429,256
9,83.4,7.2,150.72,91.2,429,256
10,83.4,7.2,150.016,91.3,429,256
11,135.8,9.7,150.336,146.5,429,256
12,86.3,12.9,150.912,100.4,429,256
13,138.1,9.2,150.752,148.5,429,256
14,105.3,22.7,151.168,131.2,429,256
15,86,11,150.816,98.3,429,256
16,86,10.8,151.136,98.1,429,256
17,135.3,14.6,151.68,151.2,429,256
18,161.8,7.8,150.72,170.5,429,256
19,87.6,10.3,150.272,99.1,429,256
20,137.7,9,150.4,147.7,429,256
21,84.1,8.6,150.496,93.7,429,256
22,83.7,7.3,151.36,91.6,429,256
23,83.1,6.7,150.272,90.5,429,256
24,82.8,8.6,150.528,92.1,429,256
25,82.3,6.4,151.456,89.7,429,256
26,105.4,21.7,150.08,130.4,429,256
27,109.1,11.6,150.176,122.2,429,256
28,86.1,10.5,150.368,98,429,256
29,84.2,8,150.432,93.2,429,256
30,103.2,43.6,150.72,148.2,429,256
31,87.6,10.6,151.072,99.4,429,256
32,135.7,9,150.656,145.7,429,256
33,137.2,7.9,151.168,146,429,256
34,133.1,7.4,150.912,141.4,429,256
35,135.3,6.7,150.464,142.8,429,256
36,84.4,66.7,151.136,152,429,256
37,84.8,9.3,151.744,95.2,429,256
38,86.3,11,150.56,98.6,429,256
39,85.7,10.9,151.072,97.8,429,256
40,86,10.8,150.848,97.9,429,256
41,83.7,8,150.368,92.5,429,256
42,83.5,7.6,150.464,91.9,429,256
43,85.6,7.1,150.112,93.6,429,256
44,84.8,10.2,150.4,96.3,429,256
45,85.4,10.7,150.4,97.4,429,256
46,85.5,10.7,150.592,97.5,429,256
47,84.6,9.6,150.4,95.2,429,256
48,85.3,12.6,150.176,99.1,429,256
49,83.5,7,150.56,91.2,429,256

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,99.948,82.3,161.8,82.3,152.5,23.2665

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,12.086,6.4,66.7,6.4,43.6,9.73887

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,150.663,150.016,151.744,150.016,151.68,0.429768

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,113.402,89.7,170.5,89.7,165,24.7839
