frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,15.3,7.2,191.584,30.7,2,256
1,8.9,5.7,192.288,15.6,2,256
2,14.9,9.2,192.32,25.5,2,256
3,17.2,9.2,191.52,27.6,2,256
4,14.6,9.1,191.584,24.9,2,256
5,13.2,8.1,192.48,22.2,2,256
6,16.9,8.9,191.616,27,2,256
7,11.9,7.3,191.744,20.1,2,256
8,12.4,8,192.416,21.7,2,256
9,13.2,6.8,191.328,20.8,2,256
10,8.9,5.8,191.808,15.4,2,256
11,12,6.2,192.288,19,2,256
12,8.6,5.4,192.128,14.7,2,256
13,18.5,10.8,192.512,30.9,2,256
14,17.1,9.3,192.96,27.6,2,256
15,14.5,9.2,192.16,24.9,2,256
16,14.5,9.1,184.32,24.8,2,256
17,13.6,7.5,183.584,21.8,2,256
18,9.6,6.2,182.912,16.6,2,256
19,9.7,6,183.104,16.4,2,256
20,12,6.3,183.264,19.3,2,256
21,9.6,6,183.296,16.4,2,256
22,10.4,6.6,183.328,18,2,256
23,10.9,5.4,183.776,17,2,256
24,11,6.7,183.104,18.7,2,256
25,8.1,5.2,183.904,13.9,2,256
26,14.5,9.2,183.072,25,2,256
27,32.3,20.3,183.648,56,2,256
28,15.1,9.1,183.168,25.5,2,256
29,14.9,9.4,183.488,25.5,2,256
30,14.8,9.5,183.36,25.6,2,256
31,11.8,7.6,183.968,20.4,2,256
32,11.8,7,183.744,19.7,2,256
33,14.5,9,183.904,24.8,2,256
34,11.4,7.2,183.456,19.3,2,256
35,12.5,7.9,183.776,21.4,2,256
36,14.8,9.3,183.936,25.4,2,256
37,14.7,9.2,183.2,25,2,256
38,11.4,7.1,184.032,19.5,2,256
39,11,6.9,183.392,18.7,2,256
40,13.3,8.1,183.424,22.5,2,256
41,15,9.2,183.392,25.4,2,256
42,10.7,6.6,183.392,18.1,2,256
43,8.9,5.7,183.424,15.4,2,256
44,14.6,9.1,183.616,25.1,2,256
45,12.2,7.4,183.168,20.6,2,256
46,9.6,5.9,183.104,16.3,2,256
47,8.5,5.3,183.552,14.4,2,256
48,8.5,5.4,184.256,14.7,2,256
49,14.8,9.5,184.672,25.5,2,256

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,12.982,8.1,32.3,8.1,18.5,3.78775

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,7.842,5.2,20.3,5.2,10.8,2.3163

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,186.269,182.912,192.96,182.912,192.512,3.98396

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,22.026,13.9,56,13.9,30.9,6.55688
