frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,114.9,26.5,150.144,149.5,429,256
1,174.8,7.1,150.976,182.8,429,256
2,137.6,9.7,151.104,148.8,429,256
3,137.7,7.7,150.432,146.2,429,256
4,133.4,7.5,151.36,141.7,429,256
5,122.7,23.2,150.688,146.8,429,256
6,132.4,6.9,150.336,140,429,256
7,132.3,7,151.904,140,429,256
8,93.5,11.1,150.912,105.7,429,256
9,91.9,45.2,150.176,138.4,429,256
10,113.6,10.9,150.592,125.9,429,256
11,84.5,23.2,150.944,108.4,429,256
12,101.5,10.3,150.272,112.6,429,256
13,137.2,7.1,150.144,145.2,429,256
14,119.5,26.2,150.336,146.7,429,256
15,154.7,7.4,150.88,162.9,429,256
16,133,7.4,150.688,141.1,429,256
17,118.3,27.9,150.752,146.8,429,256
18,85.3,10.5,151.552,96.8,429,256
19,87.9,10.4,151.488,99.5,429,256
20,163.8,30.1,151.072,195.1,429,256
21,86,10.2,150.656,97.6,429,256
22,84.6,8,150.4,93.7,429,256
23,102.1,43.7,150.4,146.9,429,256
24,103.3,45.9,150.688,150.4,429,256
25,115.8,25.3,150.752,142,429,256
26,110.1,23.2,150.496,137,429,256
27,140.6,10.5,150.784,152.5,429,256
28,116.2,25.6,150.112,142.8,429,256
29,85.7,10.6,151.168,97.6,429,256
30,98.5,21.3,150.816,123.1,429,256
31,125.2,10.9,149.984,137.4,429,256
32,83.9,8.1,151.072,92.7,429,256
33,133.3,7.9,150.848,142,429,256
34,131.2,7.4,150.88,139.4,429,256
35,136.2,7.7,150.592,144.6,429,256
36,135.6,13.2,150.88,150,429,256
37,123.5,23.7,150.24,148,429,256
38,115.8,25.7,150.784,142.4,429,256
39,133.5,7.5,150.368,141.8,429,256
40,116.3,25.8,150.112,142.9,429,256
41,185.9,8.8,151.072,195.5,429,256
42,106.9,13.5,150.944,122.3,429,256
43,88.2,29.7,150.144,119.2,429,256
44,86.1,10.4,150.976,97.8,429,256
45,86.7,10.4,150.208,98.4,429,256
46,84.9,9.3,150.304,95.3,429,256
47,134.4,9.7,149.92,145.2,429,256
48,116.3,27.4,150.432,144.7,429,256
49,167.5,7.3,150.912,175.6,429,256

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,118.096,83.9,185.9,83.9,174.8,25.2911

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,16.24,6.9,45.9,6.9,45.2,10.588

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,150.674,149.92,151.904,149.92,151.552,0.426221

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,135.594,92.7,195.5,92.7,195.1,24.8559
