# commit=c1d4b38
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=4096 chunk=16 density=50 scheme=1 seed=42
# warmup=20 record=60
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,31365.1,43.8,40985.5,31422.2,112011,65536
1,27056.9,44.3,40743.2,27105.9,112011,65536
2,26181.5,48.8,40997.9,26235.6,112011,65536
3,26322.8,38.6,41055.5,26365.7,112011,65536
4,31076.2,37.7,40456.6,31118.3,112011,65536
5,23889.5,40.9,40373.8,23934.3,112011,65536
6,37659.6,43,40310.3,37706.8,112011,65536
7,25036.3,42,40665.6,25083,112011,65536
8,24460,41.4,40899,24505.3,112011,65536
9,32193,41.5,41120.7,32239.5,112011,65536
10,24355.4,35,40973.2,24394.6,112011,65536
11,23205.5,32.8,40780.6,23242.3,112011,65536
12,23336.4,43.8,40610,23384.4,112011,65536
13,28386.6,39.4,41172.8,28430.1,112011,65536
14,23188.6,39.1,41278.4,23232,112011,65536
15,23836.5,38.4,41346.2,23879,112011,65536
16,23341.8,32.5,40876.8,23378.4,112011,65536
17,26448.7,42.3,41187.9,26495.3,112011,65536
18,33005.8,44.7,40261.7,33055,112011,65536
19,38409.4,42.2,40814.9,38456.3,112011,65536
20,24007.3,39,40771.8,24050.7,112011,65536
21,24754.6,45.2,40810.8,24804.2,112011,65536
22,23383.6,53.3,40873.5,23440.8,112011,65536
23,25966.8,41.3,40803.1,26012.3,112011,65536
24,26720.9,39.7,41149.5,26764.9,112011,65536
25,30613.4,43.7,41342,30661.5,112011,65536
26,29716.1,42.7,41277.5,29763.1,112011,65536
27,26934.8,38.9,41145.6,26977.7,112011,65536
28,25816,35.3,41011.3,25855.4,112011,65536
29,25457.8,40.4,41344.7,25502.5,112011,65536
30,26838.7,36.8,40590.4,26879.9,112011,65536
31,25359.5,37.6,40733.8,25401.4,112011,65536
32,34565,42.4,41092.4,34611.8,112011,65536
33,27098.5,37.7,40879.4,27140.6,112011,65536
34,25922.7,42,41188.2,25970.7,112011,65536
35,30600.8,41.7,41259.4,30646.4,112011,65536
36,26946.8,42.4,40690.2,26993.5,112011,65536
37,29271.9,54,41111.5,29330.3,112011,65536
38,26327.3,38.8,40932.3,26370.3,112011,65536
39,34882,47.3,40821.2,34934.8,112011,65536
40,25231.9,47.2,40750,25283.5,112011,65536
41,31011.7,51.8,40382.8,31068.2,112011,65536
42,26307.2,38.7,41007.2,26350.5,112011,65536
43,35641,41.6,40618.2,35686.5,112011,65536
44,24314.6,38.5,40981.6,24357,112011,65536
45,23751.1,32.8,40889.4,23788.6,112011,65536
46,26158.5,38.4,41235.5,26201.2,112011,65536
47,37395.4,41.5,40600.5,37441.3,112011,65536
48,29338,47.9,40999.2,29390,112011,65536
49,29945,42.5,40933.9,29991.5,112011,65536
50,27276,36.5,40476.3,27316.7,112011,65536
51,25827.8,33.8,40918.8,25865.6,112011,65536
52,29940.3,44.1,41058.3,29989.3,112011,65536
53,24453.4,36.8,40662.5,24493.7,112011,65536
54,26786,39.3,41164.8,26829.4,112011,65536
55,27754.8,52.6,40871.6,27811.7,112011,65536
56,26012.1,36.3,41218.8,26053.1,112011,65536
57,28810.4,53.9,40763.9,28867.9,112011,65536
58,29442.6,44.3,40360,29491.5,112011,65536
59,26322.3,33.2,41184,26360.8,112011,65536

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,27761,23188.6,38409.4,23188.6,37659.6,3788.18

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,41.4017,32.5,54,32.5,53.9,5.12239

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,40896.9,40261.7,41346.2,40261.7,41344.7,277.133

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,27806.9,23232,38456.3,23232,37706.8,3790.01
