frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,145.7,11.5,117.632,169.3,2,163
1,151.8,11.2,117.472,165.4,2,163
2,149.6,20.3,116.32,173.3,2,163
3,147.8,17.9,118.08,168.6,2,163
4,147.6,12.1,117.056,161.7,2,163
5,140.4,7.7,116.256,149.1,2,163
6,146.5,11.3,116.352,159.4,2,163
7,148,11.4,116.96,160.9,2,163
8,140.3,7.5,116.992,148.6,2,163
9,152,7.8,116.416,160.6,2,163
10,141.8,7,116.96,149.5,2,163
11,133.3,12.4,117.824,147.3,2,163
12,103.3,17.6,117.12,123.1,2,163
13,111.2,11.1,116.416,124,2,163
14,95.6,15.2,116.864,112.9,2,163
15,137.3,9.3,117.12,147.5,2,163
16,140.8,11.4,117.28,153.7,2,163
17,91.9,7.9,116.864,101,2,163
18,147,11.5,116.384,159.8,2,163
19,140,7.7,117.344,148.6,2,163
20,140.4,6.9,117.184,147.9,2,163
21,142.5,7.5,116.736,150.7,2,163
22,146.8,11.2,116.384,159.3,2,163
23,149.8,14.1,116.896,165.6,2,163
24,170.5,14.4,117.824,186.4,2,163
25,142.2,10.8,117.376,154.5,2,163
26,136.1,6.3,117.216,143.2,2,163
27,137.4,6.4,116.864,144.5,2,163
28,144.2,11.6,116.864,157.2,2,163
29,138.9,7.1,116.928,146.6,2,163
30,140.5,8.6,117.024,149.9,2,163
31,141.9,7,116.928,149.7,2,163
32,132.5,6.4,116.992,139.4,2,163
33,136.2,11.4,116.704,149,2,163
34,157,19.9,117.568,179.6,2,163
35,143.3,12.1,117.792,156.9,2,163
36,138.4,7.5,117.248,146.6,2,163
37,132.5,14,116.736,147.8,2,163
38,141.6,11.6,116.608,154.7,2,163
39,136.5,6.9,116.416,144.4,2,163
40,137,6.6,117.088,144.4,2,163
41,139.7,6.5,116.544,147,2,163
42,137.8,7.2,116.704,145.8,2,163
43,140.6,10.7,116.224,152.8,2,163
44,146.2,18.8,117.088,167.1,2,163
45,93.7,13.7,117.92,109,2,163
46,139.7,16.4,116.256,157.8,2,163
47,110.5,10.2,117.344,122.2,2,163
48,104.6,10,116.576,115.8,2,163
49,90,6.7,117.248,97.7,2,163
50,128.1,10.4,116.736,139.9,2,163
51,144.3,11.6,118.176,157.4,2,163
52,139.4,7.4,116.48,147.5,2,163
53,137,6.6,116.448,144.3,2,163
54,145.6,7.2,116.96,153.4,2,163
55,137.1,6.9,116.832,144.8,2,163
56,134.4,6.5,117.056,141.8,2,163
57,138.7,12.6,116.768,153.2,2,163
58,156.4,11.7,117.696,169.9,2,163
59,140.7,11.1,117.12,153.2,2,163
