frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,13.8,8.6,69.216,29.7,2,82
1,16.7,9.1,68.16,27.9,2,82
2,13.6,10.6,68.608,25.4,2,82
3,11.8,7.5,68.32,20.5,2,82
4,12.5,7.3,68.672,20.9,2,82
5,11.8,7.3,68.224,20.4,2,82
6,12.2,7.5,68.256,20.7,2,82
7,12.4,7.7,68.16,21.1,2,82
8,16,9.5,68.224,26.4,2,82
9,14.2,8.7,69.728,24.1,2,82
10,15,9.5,69.888,25.7,2,82
11,13.7,8.3,69.664,23.2,2,82
12,12.8,7.8,69.344,21.6,2,82
13,14.4,8.9,68.896,24.6,2,82
14,17.3,11.4,68.8,30.2,2,82
15,12.8,8,68.608,21.9,2,82
16,12.3,7.9,68.576,21.2,2,82
17,12,7.5,68.8,20.6,2,82
18,12.8,7.3,68.96,21.1,2,82
19,15.6,8.2,69.568,25,2,82
20,11.9,7.3,68.448,20.1,2,82
21,13.2,7.6,68.992,22.3,2,82
22,14.2,7.9,68.288,23.7,2,82
23,12.2,7.7,69.536,21,2,82
24,11.9,7.5,68.8,20.5,2,82
25,15.3,9.3,68.608,25.9,2,82
26,12.3,7.6,68.928,20.9,2,82
27,17.7,9.7,69.568,28.8,2,82
28,13.5,7.7,69.12,22.6,2,82
29,12.5,7.6,69.28,21.4,2,82
30,14.6,7.7,69.28,23.6,2,82
31,11.9,7.3,68.512,20.2,2,82
32,14.1,9.2,68.896,24.4,2,82
33,15.2,8.2,68.896,24.5,2,82
34,12.6,7.7,69.184,21.5,2,82
35,13.7,9.3,69.024,24.1,2,82
36,15,9.5,70.208,25.8,2,82
37,14.8,9.4,68.48,25.4,2,82
38,13.7,8.4,68.768,23.3,2,82
39,14.5,8.9,69.28,24.6,2,82
40,14.5,9,68.736,24.5,2,82
41,14.4,8.6,68.48,24.3,2,82
42,14.7,9.3,68.384,25.3,2,82
43,12.5,7.7,69.824,21.4,2,82
44,12.3,7.8,68.544,21,2,82
45,11.9,7.6,68.256,20.4,2,82
46,12.4,7.5,68.736,20.8,2,82
47,12.7,7.9,69.088,21.7,2,82
48,14.6,9,69.088,25,2,82
49,14.8,9.4,68.736,25.6,2,82
50,12.1,7.4,68.352,20.5,2,82
51,13.8,8.6,69.952,23.3,2,82
52,12.2,7.3,68.832,20.3,2,82
53,14.3,9.3,69.12,25,2,82
54,15,9.6,68.864,26,2,82
55,11.9,7.5,69.056,20.3,2,82
56,12.1,7.3,69.248,20.5,2,82
57,11.6,7.3,68.736,20,2,82
58,12.1,7.3,69.152,20.5,2,82
59,12.7,7.4,69.408,21.2,2,82
60,14.4,8.9,69.984,24.6,2,82
61,17.4,9.6,69.76,28.5,2,82
62,14.6,9.1,68.928,25.1,2,82
63,17.9,10.4,69.312,29.8,2,82
64,15.5,8.3,68.448,25.1,2,82
65,14.4,9.1,68.96,24.7,2,82
66,16.1,8.8,68.992,26.4,2,82
67,12.2,7.6,69.984,20.7,2,82
68,11.6,7.4,68.864,19.9,2,82
69,12.1,7.6,68.896,20.7,2,82
70,16.2,9.1,68.32,26.4,2,82
71,17.6,10.4,68.32,29.4,2,82
72,13.8,8.3,69.792,23.3,2,82
73,16,10.3,68.896,27.9,2,82
74,13.5,8.3,68.928,22.7,2,82
75,12.7,7.8,70.016,21.5,2,82
76,14,8.9,68.704,24.1,2,82
77,14.5,9.4,68.352,25.3,2,82
78,14.4,9,68.8,24.7,2,82
79,16.6,8.8,68.416,26.8,2,82
80,15.6,8.4,68.768,25.3,2,82
81,12.4,7.8,68.736,21.2,2,82
82,12.8,7.4,68.416,21.9,2,82
83,11.6,7.3,69.696,19.8,2,82
84,11.9,7.4,68.864,20.4,2,82
85,11.8,7.4,68.416,20.1,2,82
86,28,8.2,69.856,37.2,2,82
87,13.3,7.2,68.224,21.5,2,82
88,13.5,10.4,68.16,25,2,82
89,12.4,7.8,69.216,21.5,2,82
90,14.5,9,68.896,24.8,2,82
91,32,9,68.992,42.1,2,82
92,14.4,8.9,68.352,24.6,2,82
93,14.7,9.1,68.672,24.9,2,82
94,14.4,8.9,68.8,24.4,2,82
95,14.5,8.9,69.824,24.7,2,82
96,10.9,6.6,68.96,18.3,2,82
97,15.2,9.3,69.28,25.9,2,82
98,15.1,10.3,68.96,26.5,2,82
99,12.2,29.5,69.632,42.5,2,82
100,12.5,9.5,68.96,23,2,82
101,12.1,7.5,68.32,20.5,2,82
102,14.7,7.7,69.056,23.8,2,82
103,11.8,7.6,68.736,20.5,2,82
104,11.9,7.3,68.896,20.1,2,82
105,12.4,7.4,68.512,20.8,2,82
106,14.3,9,68.672,24.7,2,82
107,14.9,8.8,69.728,25.4,2,82
108,12.6,7.8,69.12,21.5,2,82
109,15.4,8.9,69.76,25.4,2,82
110,12.5,7.6,69.344,21,2,82
111,14.1,28,68.48,43.4,2,82
112,14.3,8.8,69.056,24.2,2,82
113,14.9,9.3,69.152,25.5,2,82
114,13,8.1,68.928,22.2,2,82
115,14.5,8.5,70.016,24,2,82
116,13.6,7.2,68.96,22.3,2,82
117,14.8,8.6,69.12,24.6,2,82
118,14.5,29.9,68.896,45.8,2,82
119,16.9,10.7,68.672,28.8,2,82
120,12.4,7.8,68.96,21.2,2,82
121,14.6,8.9,68.288,24.5,2,82
122,13.9,8.6,68.48,23.9,2,82
123,17.1,11.7,69.024,30.3,2,82
124,14.5,8.8,68.448,24.3,2,82
125,10.3,6.1,68.48,17.1,2,82
126,16.3,9.2,68.352,27.4,2,82
127,12.7,7.9,68.736,21.8,2,82
128,13.6,7.5,69.088,22.8,2,82
129,13.3,7.7,69.504,22.2,2,82
130,11.9,7.3,69.28,20.5,2,82
131,11.8,7.5,69.76,20.2,2,82
132,15,7.9,68.672,24,2,82
133,11.8,7.5,68.896,20.3,2,82
134,14.1,7.3,68.224,22.7,2,82
135,12.1,7.5,68.608,21,2,82
136,12.1,7.8,69.536,21.1,2,82
137,12.1,7.6,68.928,20.6,2,82
138,15.4,8.4,68.64,25.1,2,82
139,12.1,7.5,71.008,20.6,2,82
140,15.1,8.1,68.768,24.4,2,82
141,11.8,7.4,68.544,20.3,2,82
142,12.2,7.6,68.864,20.8,2,82
143,14.6,9.2,68.864,25,2,82
144,14.4,9,68.352,24.7,2,82
145,11.1,6.4,68.448,18.3,2,82
146,14,8.8,68.448,24.1,2,82
147,16.9,10.7,68.864,29,2,82
148,14.7,9.1,69.248,25.1,2,82
149,14.5,9.1,70.048,24.9,2,82
150,16.1,9.7,68.992,27.7,2,82
151,13.8,10.7,68.8,25.6,2,82
152,13,7.8,68.864,22,2,82
153,14.5,8.9,69.152,24.6,2,82
154,14.3,8.8,68.576,24.5,2,82
155,14.3,8.9,68.992,24.5,2,82
156,11.3,6.8,68.64,19,2,82
157,17.8,9.7,68.448,28.9,2,82
158,12.7,7.8,68.128,21.5,2,82
159,14.1,9.3,69.888,24.8,2,82
160,14.6,9.1,68.768,25,2,82
161,9.3,5.4,68.704,15.6,2,82
162,14.3,9.2,68.864,39.1,2,82
163,14.1,9.9,69.376,25.3,2,82
164,14.1,7.5,68.768,22.8,2,82
165,13.1,7.5,68.576,21.9,2,82
166,14,9.6,68.672,24.8,2,82
167,14.9,8.8,68.928,24.9,2,82
168,12.4,7.8,68.896,21.3,2,82
169,12.1,7.4,68.512,20.5,2,82
170,12.1,7.6,69.152,20.8,2,82
171,12.3,7.3,69.504,20.8,2,82
172,13.8,7.4,68.864,22.4,2,82
173,12.7,8.1,69.216,21.8,2,82
174,14.8,9.4,69.536,25.6,2,82
175,14.6,8.4,68.192,24,2,82
176,12.1,7.4,68.128,20.7,2,82
177,11.9,7.5,68.704,20.4,2,82
178,12.4,7.6,68.832,21,2,82
179,11.8,7.3,68.864,20.1,2,82
180,14.4,8.9,68.832,24.6,2,82
181,14,8.7,68.832,23.9,2,82
182,14.6,8.9,69.28,24.6,2,82
183,13.7,8.5,69.024,23.3,2,82
184,14.5,8.7,68.736,24.3,2,82
185,16.9,10.1,69.472,28.4,2,82
186,14.9,9.4,69.216,25.5,2,82
187,17.1,10.5,69.504,29,2,82
188,13.1,7.7,68.416,21.9,2,82
189,12.2,23.1,68.224,36.3,2,82
190,11.9,7.5,68.544,20.6,2,82
191,11.9,7.3,68.736,20.2,2,82
192,11.9,7.4,68.48,20.4,2,82
193,13.5,8.6,69.152,23.7,2,82
194,14.6,8.7,68.416,24.3,2,82
195,12.5,7.3,68.96,21,2,82
196,14.1,7.4,68.48,22.6,2,82
197,34.8,8.3,69.12,44.3,2,82
198,12.1,7.5,68.736,20.6,2,82
199,14.5,10,69.952,25.7,2,82

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,13.952,9.3,34.8,10.3,28,2.71206

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,8.75,5.4,29.9,6.1,28,2.90379

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,68.9307,68.128,71.008,68.128,70.048,0.492538

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,23.987,15.6,45.8,17.1,43.4,4.46181
