# commit=e1b93db
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=256 chunk=16 density=50 scheme=3 seed=42
# warmup=30 record=50
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,20.4,9.9,184.8,40.1,2,256
1,17.1,12.1,184.416,31.1,2,256
2,14.9,9.8,184.288,26.6,2,256
3,23.1,13,183.2,37.8,2,256
4,16.6,11,183.2,29.1,2,256
5,16.2,9.2,183.168,26.9,2,256
6,17.7,9.7,183.616,29,2,256
7,15.9,9.4,183.04,26.4,2,256
8,14.3,10.5,183.008,26.2,2,256
9,21.6,10.2,184.192,33,2,256
10,15.9,10.3,182.976,27.5,2,256
11,20,8.7,182.944,30.2,2,256
12,15.5,8.9,184,25.6,2,256
13,15.5,7.9,183.424,24.7,2,256
14,25.6,12.4,183.456,39.6,2,256
15,19.8,11.3,183.136,32.4,2,256
16,15.1,8.5,183.808,24.8,2,256
17,21,12.9,184.544,35.3,2,256
18,15.1,9.7,183.456,26.3,2,256
19,15.4,11.2,183.392,27.8,2,256
20,17.1,9.3,183.424,27.7,2,256
21,16.7,11.2,183.744,29.4,2,256
22,17.4,12,183.872,30.9,2,256
23,16.9,9.4,183.424,27.6,2,256
24,19.3,12.4,184.064,33.2,2,256
25,14.9,9.2,183.904,25.3,2,256
26,32.6,21.8,183.776,58,2,256
27,27.8,18.3,183.648,49.1,2,256
28,20.1,13.8,183.296,35.6,2,256
29,15.9,11.2,183.2,28.2,2,256
30,18.9,11.7,184.032,32.1,2,256
31,15.3,9.2,183.712,25.9,2,256
32,16.1,8.5,183.968,25.9,2,256
33,14.3,9.7,184.256,25.2,2,256
34,14.7,10,182.944,26.5,2,256
35,14.6,9.7,184.032,25.4,2,256
36,15,9.2,183.744,25.3,2,256
37,16.3,8.4,183.712,25.8,2,256
38,16.6,10.6,184.704,29.1,2,256
39,17.7,11.6,184.416,30.7,2,256
40,18.5,13,183.168,33.1,2,256
41,15.8,9,184.128,25.8,2,256
42,19.9,10.7,183.616,32.7,2,256
43,15.1,9.3,183.904,25.5,2,256
44,16.4,9.8,183.776,27.4,2,256
45,14,9.8,184,25.1,2,256
46,17.8,11.4,183.2,30.8,2,256
47,19.9,10.9,184.128,32.2,2,256
48,18.2,10.8,183.488,30.4,2,256
49,16,10.3,183.648,27.6,2,256

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,17.73,14,32.6,14,27.8,3.5438

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,10.776,7.9,21.8,7.9,18.3,2.34994

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,183.7,182.944,184.8,182.944,184.704,0.471167

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,30.158,24.7,58,24.7,49.1,6.17728
