# commit=0c3c0d9
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=1024 chunk=16 density=50 scheme=1 seed=42
# warmup=10 record=20
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,1255.6,14,2696.48,1280.4,7006,4096
1,1384.8,23.8,2510.53,1412.1,7006,4096
2,1256.5,16.4,2795.2,1274.7,7006,4096
3,1254.2,16,2507.46,1272,7006,4096
4,1253.8,8.7,2507.81,1263.5,7006,4096
5,1250.1,12.5,2702.98,1264.1,7006,4096
6,1295.6,15.4,2508.1,1312.7,7006,4096
7,1283.4,13.4,2703.58,1298.5,7006,4096
8,1264.8,13.1,2724.45,1279.5,7006,4096
9,1276.7,13.1,2717.6,1292.1,7006,4096
10,1334.2,12.8,2796.29,1348.3,7006,4096
11,1503,13,2510.21,1517.3,7006,4096
12,1260.7,12.8,2507.33,1274.8,7006,4096
13,1334.1,13,2703.52,1348.5,7006,4096
14,1260.4,13,2508.96,1274.9,7006,4096
15,1275.3,12.7,2669.02,1289.4,7006,4096
16,1310.7,14.5,2697.15,1326.6,7006,4096
17,1271.7,13.4,2507.87,1286.4,7006,4096
18,1340.8,16.3,2794.91,1358.5,7006,4096
19,1258.8,14,2507.81,1274.3,7006,4096

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,1296.26,1250.1,1503,1250.1,1384.8,59.6303

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,14.095,8.7,23.8,8.7,16.4,2.7692

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,2628.86,2507.33,2796.29,2507.33,2795.2,113.64

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,1312.43,1263.5,1517.3,1263.5,1412.1,60.3361
