frame,cpu_us,gpu_us,total_us,draw_calls,visible_instances
0,5058.9,222.304,5281.2,2,82
1,6030.92,222.176,6253.1,2,82
2,3952.13,229.568,4181.7,2,82
3,4756.53,221.568,4978.1,2,82
4,5375.62,230.88,5606.5,2,82
5,4496.47,225.632,4722.1,2,82
6,4981.08,222.016,5203.1,2,82
7,5691.62,222.08,5913.7,2,82
8,5340.88,221.92,5562.8,2,82
9,3886.72,221.984,4108.7,2,82
10,4921.2,222.496,5143.7,2,82
11,5069.8,221.696,5291.5,2,82
12,5030.46,222.24,5252.7,2,82
13,5040.5,221.6,5262.1,2,82
14,5916.06,214.336,6130.4,2,82
15,4118.62,214.08,4332.7,2,82
16,4965.38,213.92,5179.3,2,82
17,5167.88,214.72,5382.6,2,82
18,5088.26,231.936,5320.2,2,82
19,4893.37,214.528,5107.9,2,82
20,5030.37,214.432,5244.8,2,82
21,6709.74,214.56,6924.3,2,82
22,3380.21,214.688,3594.9,2,82
23,5145.33,214.368,5359.7,2,82
24,7705.98,214.016,7920,2,82
25,2329.48,214.624,2544.1,2,82
26,5088.88,214.624,5303.5,2,82
27,7453.76,215.04,7668.8,2,82
28,3241.57,214.528,3456.1,2,82
29,5399.76,214.144,5613.9,2,82
30,4652.19,215.008,4867.2,2,82
31,4817.16,214.144,5031.3,2,82
32,4727.21,214.592,4941.8,2,82
33,5100.21,213.792,5314,2,82
34,5942.65,214.752,6157.4,2,82
35,5000.49,215.008,5215.5,2,82
36,3810.99,214.112,4025.1,2,82
37,5089.24,214.56,5303.8,2,82
38,5162.31,214.688,5377,2,82
39,5001.36,214.944,5216.3,2,82
40,5027.8,214.304,5242.1,2,82
41,5124.42,214.176,5338.6,2,82
42,5314.65,214.048,5528.7,2,82
43,4724.96,222.336,4947.3,2,82
44,5267.89,222.112,5490,2,82
45,4813.44,221.664,5035.1,2,82
46,5014.41,222.592,5237,2,82
47,5005.34,221.664,5227,2,82
48,5000.67,222.432,5223.1,2,82
49,6017.08,222.016,6239.1,2,82
50,6080.02,221.984,6302,2,82
51,3095.59,221.408,3317,2,82
52,4699.32,222.08,4921.4,2,82
53,7306.46,223.744,7530.2,2,82
54,3573.64,233.76,3807.4,2,82
55,5013.96,232.544,5246.5,2,82
56,5486.79,221.408,5708.2,2,82
57,4570.62,221.984,4792.6,2,82
58,4789.03,307.872,5096.9,2,82
59,5773.7,222.496,5996.2,2,82
60,5691.59,234.208,5925.8,2,82
61,4748.46,222.336,4970.8,2,82
62,4256.19,222.112,4478.3,2,82
63,5040.29,222.112,5262.4,2,82
64,5262.95,221.952,5484.9,2,82
65,4757.54,222.464,4980,2,82
66,5096.88,221.824,5318.7,2,82
67,5025.82,222.176,5248,2,82
68,5126.27,221.728,5348,2,82
69,4654.38,221.92,4876.3,2,82
70,5056.19,222.208,5278.4,2,82
71,5534.49,222.112,5756.6,2,82
72,4487.1,207.904,4695,2,82
73,7290.08,207.52,7497.6,2,82
74,2887.9,208,3095.9,2,82
75,5143.5,207.296,5350.8,2,82
76,6671.63,207.968,6879.6,2,82
77,3601.6,207.2,3808.8,2,82
78,5024.86,207.744,5232.6,2,82
79,5148.42,207.584,5356,2,82
80,5464.4,207.296,5671.7,2,82
81,4710.51,206.688,4917.2,2,82
82,5598.83,207.168,5806,2,82
83,4639.99,207.008,4847,2,82
84,5201.24,207.264,5408.5,2,82
85,5037.08,207.424,5244.5,2,82
86,5125.45,206.848,5332.3,2,82
87,5049.06,207.936,5257,2,82
88,5126.14,207.36,5333.5,2,82
89,5112.64,207.264,5319.9,2,82
90,5131.4,207.904,5339.3,2,82
91,5150.7,207.2,5357.9,2,82
92,5109.86,207.136,5317,2,82
93,5178.47,207.232,5385.7,2,82
94,5122.96,206.944,5329.9,2,82
95,5148.92,207.68,5356.6,2,82
96,7310.39,207.008,7517.4,2,82
97,2951.67,207.232,3158.9,2,82
98,5092.09,207.712,5299.8,2,82
99,5155.8,207.904,5363.7,2,82
100,5777.42,230.176,6007.6,2,82
101,4260.56,230.144,4490.7,2,82
102,6203.14,231.264,6434.4,2,82
103,3650.62,230.88,3881.5,2,82
104,5036.33,230.368,5266.7,2,82
105,5002.38,230.624,5233,2,82
106,5476.6,230.304,5706.9,2,82
107,4954.96,230.144,5185.1,2,82
108,5182.3,230.4,5412.7,2,82
109,4929.92,230.88,5160.8,2,82
110,5198.28,229.92,5428.2,2,82
111,4695.1,230.304,4925.4,2,82
112,4929.43,230.368,5159.8,2,82
113,5693.84,230.56,5924.4,2,82
114,4211.42,230.176,4441.6,2,82
115,4892.64,230.656,5123.3,2,82
116,4998.45,230.752,5229.2,2,82
117,5229.47,230.432,5459.9,2,82
118,4898.92,229.984,5128.9,2,82
119,5050.93,231.072,5282,2,82
120,4786.64,230.464,5017.1,2,82
121,4996.57,230.528,5227.1,2,82
122,7327.82,230.08,7557.9,2,82
123,2559.94,230.656,2790.6,2,82
124,4950.54,230.464,5181,2,82
125,6284.39,230.912,6515.3,2,82
126,3562.36,230.24,3792.6,2,82
127,4930.62,230.784,5161.4,2,82
128,5006.64,229.76,5236.4,2,82
