frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,400.6,6040,242.88,6450.5,679,407
1,420.8,6088.5,243.008,6512,679,407
2,316.2,6034.3,243.36,6352.8,679,407
3,392.4,5968.4,243.008,6362.9,679,407
4,713.8,6062,241.888,6777.7,679,407
5,483,5623.7,243.36,6108.7,679,407
6,290.6,5923,242.56,6215.1,679,407
7,339,6133.6,243.488,6474.1,679,407
8,368.6,5790.1,242.752,6160.2,679,407
9,349.9,6149.5,243.808,6500.7,679,407
10,310.9,6069.5,242.848,6381.8,679,407
11,335.8,6074.3,243.552,6411.4,679,407
12,329.2,6149.9,243.424,6480.7,679,407
13,473.5,6133.6,243.264,6608.9,679,407
14,461.5,5795.6,242.88,6259.7,679,407
15,355.3,5987,243.52,6343.9,679,407
16,316.6,6004.8,243.104,6322.7,679,407
17,406.5,6059.4,243.136,6467.4,679,407
18,274.5,5850.7,242.624,6126.8,679,407
19,324,6200.5,243.616,6526,679,407
20,311.2,6061.2,242.88,6373.9,679,407
21,300.1,6096.7,243.072,6398.3,679,407
22,343.5,6184.8,242.88,6529.6,679,407
23,399.8,5850.5,243.456,6251.8,679,407
24,336.9,6027.3,243.456,6365.6,679,407
25,424.3,5579.4,243.36,6005.7,679,407
26,286.2,6201.4,242.816,6489,679,407
27,387.1,6018,242.816,6406.7,679,407
28,355.1,6095.7,243.008,6452.5,679,407
29,346.2,6071.9,242.56,6419.5,679,407
30,306.9,5967.3,242.72,6276.9,679,407
31,332.7,6073.5,243.872,6407.7,679,407
32,443.5,6112.5,243.136,6557.5,679,407
33,358.8,5898.1,243.04,6259.9,679,407
34,431.7,5929.6,242.656,6362.8,679,407
35,341.3,6144.3,243.488,6487.2,679,407
36,427.4,5947.5,242.688,6376.7,679,407
37,402.4,6057.3,243.296,6461.3,679,407
38,357.9,5850.2,242.368,6209.7,679,407
39,397.5,5987.3,243.2,6386.3,679,407
40,253.4,6122.7,242.272,6377.6,679,407
41,388.3,6144.3,243.104,6534,679,407
42,365.9,5940.8,243.2,6309.2,679,407
43,419.2,6073.6,243.52,6494.5,679,407
44,435.2,5938.5,242.944,6376.1,679,407
45,445.6,5707.1,243.168,6154.3,679,407
46,380.5,5997.7,242.496,6379.8,679,407
47,417.3,6042.9,242.272,6462.3,679,407
48,313.7,5935.8,242.976,6251.7,679,407
49,327.5,6060.5,243.712,6389.9,679,407
50,345,6000.6,242.528,6347.3,679,407
51,302.9,6070.1,242.944,6374.6,679,407
52,297.7,6089.5,242.08,6388.7,679,407
53,275.5,6049.4,242.176,6326.5,679,407
54,368.9,6094.6,242.464,6465.4,679,407
