frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,557.3,15,583.904,889.9,1739,1024
1,529.6,13,581.12,545,1739,1024
2,521.5,8.5,581.216,531.5,1739,1024
3,762.7,15.7,582.144,781,1739,1024
4,483.9,17.3,582.848,503.2,1739,1024
5,514.9,12.9,581.12,529.7,1739,1024
6,513.5,14.3,581.92,529,1739,1024
7,356.5,11.4,581.824,369.6,1739,1024
8,359,9.2,581.792,369.2,1739,1024
9,327.7,7.9,582.976,336.7,1739,1024
10,349,11.3,582.4,361.8,1739,1024
11,327.4,10.1,581.856,338.8,1739,1024
12,503.7,14.7,581.28,521.1,1739,1024
13,328.4,13.1,581.664,343.1,1739,1024
14,502.3,10.5,582.016,514,1739,1024
15,401.8,12.6,582.72,416,1739,1024
16,401.2,12.2,581.216,415.1,1739,1024
17,515.6,13.7,581.472,531,1739,1024
18,718.5,17.5,581.024,738.3,1739,1024
19,640.8,15.8,583.52,658.1,1739,1024
20,655.4,14.2,583.168,671.2,1739,1024
21,654,11.9,581.152,667.1,1739,1024
22,562.3,31.2,581.088,594.7,1739,1024
23,335,11.1,581.728,347.3,1739,1024
24,409.5,12.5,582.496,423.5,1739,1024
25,414.4,12.2,582.048,428,1739,1024
26,427.7,16.1,581.536,445.6,1739,1024
27,330.4,10.9,582.56,342.6,1739,1024
28,666,13.2,581.632,680.6,1739,1024
29,368.8,12.1,582.976,382.3,1739,1024
30,373.3,10.3,582.496,384.6,1739,1024
31,339.1,11.3,581.568,351.6,1739,1024
32,327.5,7.9,581.568,336.3,1739,1024
33,673.9,14.1,581.408,689.5,1739,1024
34,656.7,13,582.272,671.1,1739,1024
35,406.3,13.7,583.456,421.6,1739,1024
36,467.3,14.8,580.864,483.4,1739,1024
37,463.1,12,581.056,476.5,1739,1024
38,732,16.3,581.984,749.9,1739,1024
39,661.4,13.2,582.528,676.2,1739,1024
40,658.6,12,582.144,672,1739,1024
41,663.4,12.1,580.96,676.5,1739,1024
42,655.3,12.3,581.248,668.7,1739,1024
43,643.9,10.2,584.16,655.6,1739,1024
44,518.1,18.1,583.168,537.8,1739,1024
45,681.3,13.9,581.888,696.5,1739,1024
46,620.1,13.2,581.92,635.1,1739,1024
47,519.6,13.4,581.056,534.3,1739,1024
48,524.3,14,582.752,539.9,1739,1024
49,327.1,11.3,582.88,339.6,1739,1024
50,345.1,9.8,581.632,355.8,1739,1024
51,316.1,6.9,581.44,323.7,1739,1024
52,318.9,10.7,581.216,330.9,1739,1024
53,316.9,7.7,581.408,325.2,1739,1024
54,319.1,10.8,583.104,331.3,1739,1024
55,317.7,10.6,582.08,329.5,1739,1024
56,317.4,10.5,581.92,329.2,1739,1024
57,320.5,7,581.824,328.3,1739,1024
58,315.1,5.7,581.28,321.3,1739,1024
59,459.6,10.4,583.584,470.7,1739,1024
60,515.3,12.9,583.232,529.5,1739,1024
61,317.3,10.7,581.312,329.2,1739,1024
62,315,7.2,581.088,323.1,1739,1024
63,385.2,13.1,581.568,399,1739,1024
64,317,10.9,581.376,329,1739,1024
65,316.2,7.9,582.88,324.9,1739,1024
66,317.3,10.7,582.56,329.2,1739,1024
