# commit=c21bcbf
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=512 chunk=16 density=50 scheme=3 seed=42
# warmup=60 record=100
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,18.8,12.4,707.168,46.2,2,1024
1,11.5,7,707.488,20.3,2,1024
2,15.7,10,708.128,27.6,2,1024
3,18.1,11.5,706.912,31.4,2,1024
4,17.5,11,706.944,30.6,2,1024
5,18.8,11.4,707.104,32.1,2,1024
6,16.6,10.2,707.584,28.4,2,1024
7,14.2,8.9,706.88,24.5,2,1024
8,18.6,12.2,707.872,32.3,2,1024
9,15.1,9.7,707.168,26.2,2,1024
10,15.3,10,707.36,26.6,2,1024
11,15.2,9.9,707.744,26.4,2,1024
12,17.8,11.6,707.104,30.9,2,1024
13,14.8,9.5,710.144,25.3,2,1024
14,17.5,10.8,707.072,29.7,2,1024
15,18.7,11.9,706.72,32,2,1024
16,18.1,19,706.336,38.6,2,1024
17,17.1,10.5,706.24,29,2,1024
18,17.3,10.1,709.536,29.5,2,1024
19,17.8,11.1,707.008,30.3,2,1024
20,12.2,7.7,706.88,20.8,2,1024
21,17.3,11,705.984,29.8,2,1024
22,17.6,10.6,705.952,29.5,2,1024
23,22.3,13.5,709.888,37.6,2,1024
24,18.3,11.6,706.944,31.5,2,1024
25,15.2,9.5,707.52,25.9,2,1024
26,14.7,9,706.336,24.8,2,1024
27,18.1,11.6,707.456,31.1,2,1024
28,20.4,12.9,708.384,35.1,2,1024
29,18.4,11.3,706.592,31.2,2,1024
30,20.7,12.4,706.464,34.9,2,1024
31,19.6,12.1,706.848,33.5,2,1024
32,17.4,11.5,706.368,30.5,2,1024
33,17,10.9,707.104,29.3,2,1024
34,16.9,11.1,706.432,29.5,2,1024
35,33,22,707.328,58.7,2,1024
36,18.8,12.2,706.048,32.9,2,1024
37,15.6,9.8,705.952,26.9,2,1024
38,14.1,8.9,706.72,24.2,2,1024
39,20.1,12.8,706.912,34.8,2,1024
40,20.6,12,706.56,34.5,2,1024
41,17.4,11.2,706.656,30.3,2,1024
42,16.7,10.9,706.752,29.2,2,1024
43,13.7,8.2,707.872,22.9,2,1024
44,16.1,9.3,709.696,26.5,2,1024
45,19.4,12.3,706.528,33.6,2,1024
46,16.1,10.3,706.496,28,2,1024
47,11.1,6.9,706.304,19,2,1024
48,9.5,6.4,706.592,16.8,2,1024
49,10.4,6.7,706.56,17.9,2,1024
50,18.8,11,707.392,31.8,2,1024
51,17.6,12.9,706.4,32.7,2,1024
52,18.7,12,706.912,32.5,2,1024
53,20.3,13.2,706.72,35.1,2,1024
54,15.5,9.9,706.112,26.8,2,1024
55,19.4,12.8,709.92,33.9,2,1024
56,18.2,11.4,691.136,31.3,2,1024
57,18.5,12.3,669.088,32.7,2,1024
58,12.5,7.8,668.576,21.3,2,1024
59,11.3,7,669.76,19.2,2,1024
60,10,6.1,668.352,16.7,2,1024
61,16.1,11.1,670.4,28.7,2,1024
62,15.3,10,669.12,26.5,2,1024
63,18.3,12.2,668.96,32.2,2,1024
64,17.4,11,668.096,29.9,2,1024
65,17.9,11.1,668.608,30.6,2,1024
66,14.2,9.3,669.888,24.5,2,1024
67,17.6,11.4,669.024,30.5,2,1024
68,15.3,10.2,668.128,26.8,2,1024
69,11.8,7.8,668.8,20.4,2,1024
70,15.4,10.2,668.896,26.8,2,1024
71,24.8,13.6,668.576,40.3,2,1024
72,16.5,13.7,671.808,31.7,2,1024
73,18.6,11.8,668.288,32,2,1024
74,15.4,10.2,669.184,26.9,2,1024
75,20.4,13,669.344,34.8,2,1024
76,17.7,11.2,668.896,30.5,2,1024
77,17.7,10.9,670.432,30.2,2,1024
78,20.2,11.9,668.448,33.8,2,1024
79,15.3,10.6,668.736,27.3,2,1024
80,11.1,6.6,668.832,18.5,2,1024
81,10.6,6.9,668.32,18.1,2,1024
82,10.3,6.8,669.312,17.7,2,1024
83,10.1,6.6,671.68,17.5,2,1024
84,18.9,11.8,669.12,32.2,2,1024
85,15.3,9.7,668.576,26.2,2,1024
86,10.8,6.6,668.864,18.1,2,1024
87,24.5,15.2,668.928,41.1,2,1024
88,18.4,12.3,668.896,32,2,1024
89,19.9,11.7,669.152,33.3,2,1024
90,18.3,12,669.312,32,2,1024
91,14.2,9.2,669.184,24.8,2,1024
92,10.6,7.1,668.544,18.5,2,1024
93,9.3,6.2,668.832,16.3,2,1024
94,32.1,20.8,670.048,56.8,2,1024
95,27.1,17.9,668.448,48,2,1024
96,17.3,11.6,668.352,30.3,2,1024
97,13.8,8.3,668.416,23.1,2,1024
98,16.6,10.8,668.704,28.7,2,1024
99,13,8.3,669.792,22.5,2,1024

cpu_record_us_summary,avg,min,max,p1,p99,stddev
cpu_record,16.821,9.3,33,9.3,32.1,4.03223

cpu_wait_us_summary,avg,min,max,p1,p99,stddev
cpu_wait,10.793,6.1,22,6.1,20.8,2.7323

gpu_exec_us_summary,avg,min,max,p1,p99,stddev
gpu_exec,690.62,668.096,710.144,668.096,709.92,18.7921

frame_wall_us_summary,avg,min,max,p1,p99,stddev
frame_wall,29.232,16.3,58.7,16.3,56.8,7.30778
