# commit=0c3c0d9
# dirty=true
# gpu=NVIDIA GeForce RTX 4080 SUPER
# grid=512 chunk=32 density=50 scheme=1 seed=9999
# warmup=60 record=200
# present_mode=mailbox
frame,cpu_record_us,cpu_wait_us,gpu_exec_us,frame_wall_us,draw_calls,visible_instances
0,85.4,7.3,554.848,101.9,510,256
1,88.7,10.6,555.84,100.7,510,256
2,107.6,7.2,555.808,115.6,510,256
3,89.1,8.1,555.872,98.1,510,256
4,88.5,10.6,556.64,100.2,510,256
5,101.2,22.5,556.48,127.1,510,256
6,90.6,11,555.904,102.9,510,256
7,87.6,11.2,555.68,99.9,510,256
8,87.5,13.1,555.616,101.8,510,256
9,87.3,10.6,555.264,99,510,256
10,85,7.1,555.712,92.9,510,256
11,85.6,8.1,557.536,94.7,510,256
12,87.5,10.8,556.704,99.6,510,256
13,87.3,10.8,555.968,99.2,510,256
14,87.1,10.4,556.288,98.8,510,256
15,89,9,555.328,98.9,510,256
16,85.6,7.6,555.584,94,510,256
17,85.8,8.9,555.744,95.8,510,256
18,87.4,10.7,555.904,99.3,510,256
19,87.3,10.6,559.232,99.2,510,256
20,88.7,13.2,555.936,103.1,510,256
21,87.2,10.5,555.456,99,510,256
22,87.1,10.7,555.872,99.1,510,256
23,88.2,8.4,554.816,97.4,510,256
24,86.7,9.6,554.944,97.5,510,256
25,85.4,7.3,555.936,93.3,510,256
26,87.7,10.6,557.856,99.5,510,256
27,87.5,10.6,556.288,99.4,510,256
28,86.4,7.9,555.392,95.1,510,256
29,85.8,7.4,554.88,94.1,510,256
30,89,10.7,555.104,100.9,510,256
31,86,7.8,555.456,94.8,510,256
32,85.8,9.6,555.456,96.3,510,256
33,111.9,13.6,558.048,126.8,510,256
34,87.6,10.7,555.328,99.3,510,256
35,88.9,10.8,555.456,100.9,510,256
36,135.8,14.3,556.448,151.2,510,256
37,87.4,10.6,555.424,99.1,510,256
38,87.6,10.5,555.552,99.4,510,256
39,85.9,8.1,555.168,94.9,510,256
40,124.2,29.1,557.92,157.5,510,256
41,91,11.3,556.032,103.5,510,256
